step,wall_time,Environment_Cumulative_Reward,Environment_Episode_Length,Losses_Policy_Loss,Losses_Value_Loss,Policy_Beta,Policy_Entropy,Policy_Epsilon,Policy_Extrinsic_Reward,Policy_Extrinsic_Value_Estimate,Policy_Learning_Rate
10000,1775248965.317406,,,,,,2.238145589828491,,,-24.236757278442383,
20000,1775248986.9053524,,,0.020301057025790215,84.96633911132812,0.004972854629158974,2.2430930137634277,0.19945600628852844,,-22.04816436767578,0.0002983679878525436
30000,1775249006.9027889,,,0.025939028710126877,26.316158294677734,0.004945708904415369,2.245415687561035,0.19891199469566345,,-23.19141960144043,0.00029673599055968225
40000,1775249027.3098922,-888.3396606445312,3999.0,0.02534731850028038,26.68971061706543,0.004918563179671764,2.253690481185913,0.19836799800395966,-888.3396606445312,-22.709369659423828,0.0002951039932668209
50000,1775249047.8495314,-904.9497680664062,,0.025893449783325195,44.61962890625,0.0048922160640358925,2.248566150665283,0.19784000515937805,-904.9497680664062,-16.8439884185791,0.0002935199881903827
60000,1775249068.3230796,,,0.01910010538995266,94.48821258544922,0.004865070339292288,2.255786418914795,0.19729599356651306,,-22.72650909423828,0.0002918879908975214
70000,1775249088.181782,,,0.022711608558893204,23.748275756835938,0.004837924614548683,2.2597568035125732,0.19675199687480927,,-18.02909278869629,0.00029025599360466003
80000,1775249108.756625,-724.7286987304688,3999.0,0.03065728209912777,30.507753372192383,0.004810779355466366,2.256505250930786,0.19620800018310547,-724.7286987304688,-16.68876075744629,0.0002886239963117987
90000,1775249129.9931622,-147.64718627929688,,0.026843713596463203,16.104660034179688,0.004784431774169207,2.2622764110565186,0.19568000733852386,-147.64718627929688,-16.42589569091797,0.0002870399912353605
100000,1775249150.2653286,,,0.02298492193222046,29.606897354125977,0.004757286515086889,2.252685308456421,0.19513599574565887,,-16.355335235595703,0.00028540799394249916
110000,1775249170.0888624,,,0.029099194332957268,40.41605758666992,0.004730140790343285,2.2568609714508057,0.19459199905395508,,-20.15260887145996,0.0002837759966496378
120000,1775249190.3751264,-624.3027954101562,3999.0,0.020316125825047493,38.784767150878906,0.00470299506559968,2.2445173263549805,0.19404800236225128,-624.3027954101562,-16.964757919311523,0.0002821439993567765
130000,1775249211.1317718,-570.0692138671875,,0.02237880416214466,47.661590576171875,0.004676647949963808,2.2489349842071533,0.19351999461650848,-570.0692138671875,-15.071982383728027,0.0002805599942803383
140000,1775249228.9261625,,,,,,2.2486202716827393,,,-19.24161148071289,
150000,1775249247.8811646,,,0.025677284225821495,19.089679718017578,0.004649502225220203,2.2544541358947754,0.1929759979248047,,-18.40380859375,0.00027892799698747694
160000,1775249267.260472,-609.8779296875,3999.0,0.021957578137516975,9.242307662963867,0.004622356966137886,2.2614455223083496,0.1924320012331009,-609.8779296875,-17.972225189208984,0.0002772959996946156
170000,1775249287.6207347,-695.64208984375,,0.02286396734416485,13.475326538085938,0.004596009384840727,2.262592315673828,0.1919039934873581,-695.64208984375,-11.587282180786133,0.0002757119946181774
180000,1775249308.0162342,,,0.022855455055832863,16.885284423828125,0.0045688641257584095,2.2642061710357666,0.1913599967956543,,-16.4528865814209,0.00027407999732531607
190000,1775249327.7818258,,,0.016382398083806038,13.803423881530762,0.004541718401014805,2.264631986618042,0.1908160001039505,,-17.209575653076172,0.00027244800003245473
200000,1775249347.439465,-571.1860961914062,3999.0,0.024241691455245018,18.23939323425293,0.0045145726762712,2.2657623291015625,0.1902720034122467,-571.1860961914062,-15.698488235473633,0.0002708160027395934
210000,1775249367.3732598,-632.845947265625,,0.034199878573417664,73.03530883789062,0.004488225560635328,2.265733003616333,0.1897439956665039,-632.845947265625,-18.2725830078125,0.0002692319976631552
220000,1775249388.2447193,,,0.026190880686044693,40.45302963256836,0.004461079835891724,2.2645936012268066,0.1891999989748001,,-22.29796028137207,0.00026760000037029386
230000,1775249408.5491242,,,0.02338731288909912,38.1804084777832,0.004433934576809406,2.2632486820220947,0.1886560022830963,,-22.95769500732422,0.0002659680030774325
240000,1775249428.6620624,-1048.677978515625,3999.0,0.015471300110220909,19.985347747802734,0.004406788852065802,2.2600691318511963,0.18811200559139252,-1048.677978515625,-19.113487243652344,0.00026433600578457117
250000,1775249449.2580156,-375.0238952636719,,0.018908128142356873,26.372880935668945,0.00438044173642993,2.261215925216675,0.18758399784564972,-375.0238952636719,-13.13780403137207,0.000262752000708133
260000,1775249469.3707323,,,0.024000458419322968,17.837257385253906,0.004353296011686325,2.2603647708892822,0.18704000115394592,,-12.735160827636719,0.00026112000341527164
