wall_time,step,value
1775240862.8296244,40000,-874.5272827148438
1775240883.3876288,50000,-1029.0013427734375
1775240943.9591427,80000,-1632.572265625
1775240964.945769,90000,-3765.64990234375
1775241026.279256,120000,-1003.9523315429688
1775241046.896632,130000,-980.3909301757812
1775241105.7660112,160000,-1046.0947265625
1775241126.7216814,170000,-727.638427734375
1775241187.9554286,200000,-814.3638916015625
1775241208.5309546,210000,-695.3594970703125
1775241269.6370165,240000,-1329.2779541015625
1775241290.6726716,250000,-948.0170288085938
1775241348.221301,280000,-1142.5091552734375
1775241369.2962828,290000,-1862.9810791015625
1775241430.3860676,320000,-908.2467651367188
1775241450.7676942,330000,-1019.370849609375
1775241511.3914964,360000,-794.8737182617188
1775241532.5417435,370000,-599.6137084960938
1775241593.3205702,400000,-1036.4735107421875
1775241611.5822701,410000,-818.8990478515625
1775241673.6236262,440000,-3203.16162109375
1775241694.1414738,450000,-848.9378662109375
1775241755.2135704,480000,-798.0653076171875
1775241776.1251118,490000,-1286.4986572265625
1775241837.126238,520000,-826.61279296875
1775241858.458319,530000,-957.3052978515625
1775241916.824613,560000,-1128.5311279296875
1775241936.8744133,570000,-1099.418212890625
1775241997.1537204,600000,-842.715087890625
1775242017.888574,610000,-1466.052978515625
1775242078.3287258,640000,-1138.62451171875
1775242099.100128,650000,-928.0038452148438
1775242156.5097334,680000,-889.442138671875
1775242176.957279,690000,-443.3155212402344
1775242236.9670432,720000,-819.6029052734375
1775242257.418847,730000,-1035.4508056640625
1775242319.0566185,760000,-1025.0406494140625
1775242339.8493614,770000,-1080.5537109375
1775242399.3415194,800000,-855.1346435546875
1775242419.9306338,810000,-465.7660827636719
1775242478.0790591,840000,-1009.1804809570312
1775242498.2041187,850000,-1084.8516845703125
1775242556.8006275,880000,-717.4983520507812
1775242576.9928486,890000,-1267.441162109375
1775242635.848139,920000,-1076.1422119140625
1775242655.8803735,930000,-667.8687133789062
1775242808.201024,1000000,-1932.91552734375
1775242891.9176278,1040000,-755.1585693359375
1775242975.2116015,1080000,-1064.0421142578125
1775243052.9133701,1120000,-855.2808837890625
1775243134.9695818,1160000,-997.5267944335938
1775243216.9644508,1200000,-1059.1395263671875
1775243295.5710049,1240000,-1053.494140625
1775243375.1531975,1280000,-963.0245361328125
1775243455.138201,1320000,-1146.8067626953125
1775243533.3978047,1360000,-841.3084716796875
1775243613.4122193,1400000,-844.9856567382812
1775243693.237002,1440000,-694.6497192382812
1775243772.3537781,1480000,-635.87109375
1775243848.8950238,1520000,-774.4976806640625
1775243929.0074487,1560000,-745.8851318359375
1775244010.0902345,1600000,-749.5286865234375
1775244087.4318638,1640000,-745.2335205078125
1775244166.8464932,1680000,-777.5803833007812
1775244246.6454134,1720000,-763.0630493164062
1775244327.2368414,1760000,-793.8655395507812
1775244406.2372625,1800000,-720.0408935546875
1775244486.4972577,1840000,-642.5343017578125
1775244567.642885,1880000,-873.6189575195312
1775244647.5400124,1920000,-804.4307861328125
1775244729.5098362,1960000,-849.4329833984375
1775244810.312695,2000000,-2046.7113037109375
